Continent en,Continent es,Name en,Name es,2018,2022
North America,América del Norte,Aruba,Aruba,56.80,56.98
Asia,Asia,Afghanistan,Afganistán,30.04,25.79
Africa,África,Angola,Angola,30.42,29.24
Europe,Europa,Albania,Albania,44.33,43.78
Europe,Europa,Andorra,Andorra,60.81,57.71
Asia,Asia,United Arab Emirates,Emiratos Árabes Unidos,63.86,63.47
South America,América del Sur,Argentina,Argentina,50.13,48.00
Asia,Asia,Armenia,Armenia,43.61,48.33
Oceania,Oceanía,Australia,Australia,70.48,69.81
Europe,Europa,Austria,Austria,63.06,64.02
Asia,Asia,Azerbaijan,Azerbaiyán,45.46,45.31
Africa,África,Burundi,Burundi,24.67,24.82
Europe,Europa,Belgium,Bélgica,62.94,62.86
Africa,África,Benin,Benín,27.08,27.63
Africa,África,Burkina Faso,Burkina Faso,25.89,23.87
Asia,Asia,Bangladesh,Bangladesh,38.48,40.71
Europe,Europa,Bulgaria,Bulgaria,53.63,51.96
Asia,Asia,Bahrain,Bahrein,59.50,60.72
North America,América del Norte,Bahamas,Bahamas,47.23,47.55
Europe,Europa,Bosnia and Herzegovina,Bosnia-Herzegovina,42.08,42.39
Europe,Europa,Belarus,Bielorrusia,51.32,48.42
North America,América del Norte,Belize,Belice,47.45,48.97
North America,América del Norte,Bermuda,Bermudas,52.06,52.30
South America,América del Sur,Bolivia (Plurinational State of),Bolivia,44.58,43.99
South America,América del Sur,Brazil,Brasil,49.33,48.56
North America,América del Norte,Barbados,Barbados,53.92,55.66
Asia,Asia,Brunei Darussalam,Brunei Darussalam,57.05,51.03
Asia,Asia,Bhutan,Bután,48.79,46.68
Africa,África,Botswana,Botsuana,45.00,44.83
Africa,África,Central African Republic,República Centroafricana,24.36,24.46
North America,América del Norte,Canada,Canadá,66.73,66.75
Europe,Europa,"Switzerland, Liechtenstein","Suiza, Liechtenstein",63.58,63.97
South America,América del Sur,Chile,Chile,58.78,58.45
Asia,Asia,China,China,58.54,60.65
Africa,África,Côte d'Ivoire,Costa de Marfil,35.62,37.34
Africa,África,Cameroon,Camerún,29.30,26.77
Africa,África,"Congo, Dem. Rep. of the",República Democrática del Congo,21.98,21.80
Africa,África,Congo,República del Congo,30.05,28.47
South America,América del Sur,Colombia,Colombia,49.12,47.52
Africa,África,Comoros,Comores,36.23,37.03
Africa,África,Cabo Verde,Cabo Verde,50.77,49.99
North America,América del Norte,Costa Rica,Costa Rica,51.49,50.91
North America,América del Norte,Cuba,Cuba,43.28,42.49
North America,América del Norte,Curaçao,Curazao,56.25,55.90
North America,América del Norte,Cayman Islands,Islas Caimán,48.32,49.02
Europe,Europa,Cyprus,Chipre,54.36,54.33
Europe,Europa,Czechia,República Checa,61.17,59.40
Europe,Europa,Germany,Alemania,66.44,65.79
Africa,África,Djibouti,"Djibouti, Yibuti",42.96,43.10
North America,América del Norte,Dominica,Dominica,52.62,52.20
Europe,Europa,Denmark,Dinamarca,69.88,70.31
North America,América del Norte,Dominican Republic,"Dominicana, República",39.77,41.36
Africa,África,Algeria,Argelia,46.55,43.80
South America,América del Sur,Ecuador,Ecuador,46.18,44.67
Africa,África,Egypt,Egipto,43.33,44.10
Africa,África,Eritrea,Eritrea,23.76,23.99
Europe,Europa,Spain,España,59.75,59.66
Europe,Europa,Estonia,Estonia,56.38,57.28
Africa,África,Ethiopia,Etiopía,30.01,30.54
Europe,Europa,Finland,Finlandia,62.71,62.69
Oceania,Oceanía,Fiji,Fiyi,48.59,45.97
Europe,Europa,France,Francia,63.10,62.83
Africa,África,Gabon,Gabón,34.32,33.97
Europe,Europa,United Kingdom,Reino Unido,67.59,65.75
Asia,Asia,Georgia,Georgia,49.87,45.77
Africa,África,Ghana,Ghana,36.02,37.78
Africa,África,Guinea,República Guinea,30.17,31.76
Africa,África,Gambia,Gambia,30.91,33.89
Africa,África,Guinea-Bissau,Guinea Bissau,24.30,24.84
Africa,África,Equatorial Guinea,Guinea Ecuatorial,33.01,30.78
Europe,Europa,Greece,Grecia,54.05,54.90
North America,América del Norte,Grenada,Granada,48.81,47.36
North America,América del Norte,Guatemala,Guatemala,37.62,34.51
Oceania,Oceanía,Guam,Guam,57.84,58.11
South America,América del Sur,Guyana,Guyana,42.70,41.93
Asia,Asia,"China, Hong Kong SAR","China, Hong Kong",66.00,61.88
North America,América del Norte,Honduras,Honduras,37.67,38.14
Europe,Europa,Croatia,Croacia,53.43,53.85
North America,América del Norte,Haiti,Haiti,24.29,25.21
Europe,Europa,Hungary,Hungría,58.46,58.03
Asia,Asia,Indonesia,Indonesia,46.66,46.69
Asia,Asia,India,India,44.29,45.28
Europe,Europa,Ireland,Irlanda,65.10,62.93
Asia,Asia,Iran (Islamic Republic of),Irán,47.45,43.84
Asia,Asia,Iraq,Iraq,35.33,32.67
Europe,Europa,Iceland,Islandia,64.65,64.14
Asia,Asia,Israel,Israel,61.22,62.78
Europe,Europa,Italy,Italia,57.46,55.18
North America,América del Norte,Jamaica,Jamaica,45.10,42.25
Asia,Asia,Jordan,Jordania,46.84,45.76
Asia,Asia,Japan,Japón,#REF!,#REF!
Asia,Asia,Kazakhstan,Kazajstán,58.57,57.42
Africa,África,Kenya,Kenia,36.92,37.79
Asia,Asia,Kyrgyzstan,Kirguistán,43.23,37.20
Asia,Asia,Cambodia,Camboya,37.31,35.91
Oceania,Oceanía,Kiribati,Kiribati,44.66,44.05
Asia,Asia,"Korea, Republic of",Corea del Sur,61.96,63.04
Asia,Asia,Kuwait,Kuwait,56.90,54.51
Asia,Asia,Lao People's Dem. Rep.,República Democrática Popular Lao,38.61,36.03
Asia,Asia,Lebanon,Líbano,47.01,41.02
Africa,África,Liberia,Liberia,29.80,31.34
Africa,África,Libya,Libia,39.04,37.69
North America,América del Norte,Saint Lucia,Santa Lucía,49.01,49.37
Asia,Asia,Sri Lanka,Sri Lanka,44.54,43.27
Africa,África,Lesotho,Lesotho,41.40,41.05
Europe,Europa,Lithuania,Lituania,50.00,54.25
Europe,Europa,Luxembourg,Luxemburgo,62.15,63.71
Europe,Europa,Latvia,Letonia,56.86,58.92
Asia,Asia,"China, Macao SAR","China, Macao",58.09,55.52
Africa,África,Morocco,Marruecos,46.86,46.54
Europe,Europa,"Moldova, Republic of",Moldavia,49.88,50.84
Africa,África,Madagascar,Madagascar,29.59,28.98
Asia,Asia,Maldives,Maldivas,48.50,49.18
North America,América del Norte,Mexico,México,49.96,49.41
Oceania,Oceanía,Marshall Islands,Islas Marshall,46.57,47.42
Europe,Europa,North Macedonia,Macedonia del Norte,45.89,46.72
Africa,África,Mali,Malí,23.39,21.67
Europe,Europa,Malta,Malta,60.93,60.77
Asia,Asia,Myanmar,"Myanmar, Birmania",34.94,31.84
Europe,Europa,Montenegro,Montenegro,52.73,43.36
Asia,Asia,Mongolia,Mongolia,49.99,48.95
Africa,África,Mozambique,Mozambique,30.11,29.48
Africa,África,Mauritania,Mauritania,34.47,36.55
Africa,África,Mauritius,Mauricio,54.03,49.56
Africa,África,Malawi,Malawi,22.69,18.69
Asia,Asia,Malaysia,Malasia,56.85,52.14
Africa,África,Namibia,Namibia,45.68,41.15
Africa,África,Niger,Niger,19.56,16.89
Africa,África,Nigeria,Nigeria,30.71,31.94
North America,América del Norte,Nicaragua,Nicaragua,40.91,41.44
Europe,Europa,Netherlands (Kingdom of the),Países Bajos,68.68,68.84
Europe,Europa,Norway,Noruega,66.12,66.36
Asia,Asia,Nepal,Nepal,41.08,40.35
Oceania,Oceanía,New Zealand,Nueva Zelanda,67.60,66.92
Asia,Asia,Oman,Omán,57.49,56.03
Asia,Asia,Pakistan,Pakistán,33.41,33.81
North America,América del Norte,Panama,Panamá,51.46,53.04
South America,América del Sur,Peru,Perú,47.28,47.78
Asia,Asia,Philippines,Filipinas,44.64,43.81
Oceania,Oceanía,Palau,Palau,52.10,46.58
Oceania,Oceanía,Papua New Guinea,Papúa-Nueva Guinea,32.64,33.47
Europe,Europa,Poland,Polonia,59.25,58.80
Europe,Europa,Portugal,Portugal,60.44,60.37
South America,América del Sur,Paraguay,Paraguay,44.72,42.70
Asia,Asia,State of Palestine,Territorios Palestinos,49.30,49.96
Asia,Asia,Qatar,Qatar,63.56,63.56
Europe,Europa,Romania,Rumanía,51.55,52.36
Europe,Europa,Russian Federation,Federación Rusa,52.45,51.31
Africa,África,Rwanda,Ruanda,33.04,37.12
Asia,Asia,Saudi Arabia,Arabia Saudita,54.71,56.87
Africa,África,Sudan,Sudán,26.94,25.80
Africa,África,Senegal,Senegal,34.40,38.72
Asia,Asia,Singapore,Singapur,53.79,52.49
Oceania,Oceanía,Solomon Islands,Islas Salomón,36.98,38.19
Africa,África,Sierra Leone,Sierra Leona,20.53,20.11
North America,América del Norte,El Salvador,El Salvador,46.63,47.63
Europe,Europa,San Marino,San Marino,58.71,57.80
Africa,África,Somalia,Somalia,19.88,21.86
Europe,Europa,Serbia,Serbia,54.16,54.90
Africa,África,South Sudan,Sudán del Sur,23.15,23.30
Africa,África,Sao Tome and Principe,Santo Tomé y Príncipe,42.28,43.10
South America,América del Sur,Suriname,Surinam,48.54,45.90
Europe,Europa,Slovakia,Eslovaquia,46.57,50.67
Europe,Europa,Slovenia,Eslovenia,57.02,48.71
Europe,Europa,Sweden,Suecia,65.16,65.15
Africa,África,Eswatini,Suazilandia,38.94,37.63
Africa,África,Seychelles,Seychelles,52.13,51.58
Asia,Asia,Syrian Arab Republic,Siria,29.01,30.87
Africa,África,Chad,Chad,18.78,19.18
Africa,África,Togo,Togo,31.93,36.38
Asia,Asia,Thailand,Tailandia,54.74,51.56
Asia,Asia,Tajikistan,Tadjikistan,35.22,33.60
Asia,Asia,Turkmenistan,Turkmenistan,44.27,43.59
Asia,Asia,Timor-Leste,Timor Oriental,44.47,47.57
Oceania,Oceanía,Tonga,Tonga,56.28,55.68
North America,América del Norte,Trinidad and Tobago,Trinidad y Tobago,53.42,51.95
Africa,África,Tunisia,Túnez,49.77,47.70
Asia,Asia,Türkiye,Turquía,54.31,54.01
Oceania,Oceanía,Tuvalu,Tuvalu,54.38,54.08
Africa,África,"Tanzania, United Republic of",Tanzania,31.49,31.86
Africa,África,Uganda,Uganda,25.45,21.39
Europe,Europa,Ukraine,Ucrania,49.55,48.97
South America,América del Sur,Uruguay,Uruguay,52.96,54.50
North America,América del Norte,United States of America,Estados Unidos,68.79,69.24
Asia,Asia,Uzbekistan,Uzbekistán,42.08,41.98
North America,América del Norte,Saint Vincent and the Grenadines,San Vincente y Granadinas,50.13,51.10
South America,América del Sur,Venezuela (Bolivarian Rep. of),Venezuela,32.63,33.12
Asia,Asia,Viet Nam,Vietnam,50.16,46.90
Oceania,Oceanía,Vanuatu,Vanuatu,42.94,44.86
Oceania,Oceanía,Samoa,Samoa,45.55,44.50
Asia,Asia,"Yemen, Arab Republic",Yemen,25.07,23.62
Africa,África,South Africa,Sudáfrica,53.49,52.19
Africa,África,Zambia,Zambia,33.83,32.23
Africa,África,Zimbabwe,Zimbabwe,31.01,30.24