Continent en,Continent fr,Name en,Name fr,2018,2022
North America,Amérique du Nord,Aruba,Aruba,56.80,56.98
Asia,Asie,Afghanistan,Afghanistan,30.04,25.79
Africa,Afrique,Angola,Angola,30.42,29.24
Europe,Europe,Albania,Albanie,44.33,43.78
Europe,Europe,Andorra,Andorre,60.81,57.71
Asia,Asie,United Arab Emirates,Émirats arabes unis,63.86,63.47
South America,Amérique du Sud,Argentina,Argentine,50.13,48.00
Asia,Asie,Armenia,Arménie,43.61,48.33
Oceania,Océanie,Australia,Australie,70.48,69.81
Europe,Europe,Austria,Autriche,63.06,64.02
Asia,Asie,Azerbaijan,Azerbaïdjan,45.46,45.31
Africa,Afrique,Burundi,Burundi,24.67,24.82
Europe,Europe,Belgium,Belgique,62.94,62.86
Africa,Afrique,Benin,Bénin,27.08,27.63
Africa,Afrique,Burkina Faso,Burkina Faso,25.89,23.87
Asia,Asie,Bangladesh,Bangladesh,38.48,40.71
Europe,Europe,Bulgaria,Bulgarie,53.63,51.96
Asia,Asie,Bahrain,Bahreïn,59.50,60.72
North America,Amérique du Nord,Bahamas,Bahamas,47.23,47.55
Europe,Europe,Bosnia and Herzegovina,Bosnie-Herzégovine,42.08,42.39
Europe,Europe,Belarus,Bélarus,51.32,48.42
North America,Amérique du Nord,Belize,Belize,47.45,48.97
North America,Amérique du Nord,Bermuda,Bermudes,52.06,52.30
South America,Amérique du Sud,Bolivia (Plurinational State of),Bolivie (État plurinational de),44.58,43.99
South America,Amérique du Sud,Brazil,Brésil,49.33,48.56
North America,Amérique du Nord,Barbados,Barbade,53.92,55.66
Asia,Asie,Brunei Darussalam,Brunéi Darussalam,57.05,51.03
Asia,Asie,Bhutan,Bhoutan,48.79,46.68
Africa,Afrique,Botswana,Botswana,45.00,44.83
Africa,Afrique,Central African Republic,République centrafricaine,24.36,24.46
North America,Amérique du Nord,Canada,Canada,66.73,66.75
Europe,Europe,"Switzerland, Liechtenstein","Suisse, Liechtenstein",63.58,63.97
South America,Amérique du Sud,Chile,Chili,58.78,58.45
Asia,Asie,China,Chine,58.54,60.65
Africa,Afrique,Côte d'Ivoire,Côte d'Ivoire,35.62,37.34
Africa,Afrique,Cameroon,Cameroun,29.30,26.77
Africa,Afrique,"Congo, Dem. Rep. of the","Congo, Rép. dém. du",21.98,21.80
Africa,Afrique,Congo,Congo,30.05,28.47
South America,Amérique du Sud,Colombia,Colombie,49.12,47.52
Africa,Afrique,Comoros,Comores,36.23,37.03
Africa,Afrique,Cabo Verde,Cabo Verde,50.77,49.99
North America,Amérique du Nord,Costa Rica,Costa Rica,51.49,50.91
North America,Amérique du Nord,Cuba,Cuba,43.28,42.49
North America,Amérique du Nord,Curaçao,Curaçao,56.25,55.90
North America,Amérique du Nord,Cayman Islands,Îles Caïmanes,48.32,49.02
Europe,Europe,Cyprus,Chypre,54.36,54.33
Europe,Europe,Czechia,Tchéquie,61.17,59.40
Europe,Europe,Germany,Allemagne,66.44,65.79
Africa,Afrique,Djibouti,Djibouti,42.96,43.10
North America,Amérique du Nord,Dominica,Dominique,52.62,52.20
Europe,Europe,Denmark,Danemark,69.88,70.31
North America,Amérique du Nord,Dominican Republic,République dominicaine,39.77,41.36
Africa,Afrique,Algeria,Algérie,46.55,43.80
South America,Amérique du Sud,Ecuador,Équateur,46.18,44.67
Africa,Afrique,Egypt,Égypte,43.33,44.10
Africa,Afrique,Eritrea,Érythrée,23.76,23.99
Europe,Europe,Spain,Espagne,59.75,59.66
Europe,Europe,Estonia,Estonie,56.38,57.28
Africa,Afrique,Ethiopia,Éthiopie,30.01,30.54
Europe,Europe,Finland,Finlande,62.71,62.69
Oceania,Océanie,Fiji,Fidji,48.59,45.97
Europe,Europe,France,France,63.10,62.83
Africa,Afrique,Gabon,Gabon,34.32,33.97
Europe,Europe,United Kingdom,Royaume-Uni,67.59,65.75
Asia,Asie,Georgia,Géorgie,49.87,45.77
Africa,Afrique,Ghana,Ghana,36.02,37.78
Africa,Afrique,Guinea,Guinée,30.17,31.76
Africa,Afrique,Gambia,Gambie,30.91,33.89
Africa,Afrique,Guinea-Bissau,Guinée-Bissau,24.30,24.84
Africa,Afrique,Equatorial Guinea,Guinée équatoriale,33.01,30.78
Europe,Europe,Greece,Grèce,54.05,54.90
North America,Amérique du Nord,Grenada,Grenade,48.81,47.36
North America,Amérique du Nord,Guatemala,Guatemala,37.62,34.51
Oceania,Océanie,Guam,Guam,57.84,58.11
South America,Amérique du Sud,Guyana,Guyana,42.70,41.93
Asia,Asie,"China, Hong Kong SAR",Chine (RAS de Hong Kong),66.00,61.88
North America,Amérique du Nord,Honduras,Honduras,37.67,38.14
Europe,Europe,Croatia,Croatie,53.43,53.85
North America,Amérique du Nord,Haiti,Haïti,24.29,25.21
Europe,Europe,Hungary,Hongrie,58.46,58.03
Asia,Asie,Indonesia,Indonésie,46.66,46.69
Asia,Asie,India,Inde,44.29,45.28
Europe,Europe,Ireland,Irlande,65.10,62.93
Asia,Asie,Iran (Islamic Republic of),Iran (République islamique d'),47.45,43.84
Asia,Asie,Iraq,Iraq,35.33,32.67
Europe,Europe,Iceland,Islande,64.65,64.14
Asia,Asie,Israel,Israël,61.22,62.78
Europe,Europe,Italy,Italie,57.46,55.18
North America,Amérique du Nord,Jamaica,Jamaïque,45.10,42.25
Asia,Asie,Jordan,Jordanie,46.84,45.76
Asia,Asie,Japan,Japon,#REF!,#REF!
Asia,Asie,Kazakhstan,Kazakhstan,58.57,57.42
Africa,Afrique,Kenya,Kenya,36.92,37.79
Asia,Asie,Kyrgyzstan,Kirghizistan,43.23,37.20
Asia,Asie,Cambodia,Cambodge,37.31,35.91
Oceania,Océanie,Kiribati,Kiribati,44.66,44.05
Asia,Asie,"Korea, Republic of","Corée, République de",61.96,63.04
Asia,Asie,Kuwait,Koweït,56.90,54.51
Asia,Asie,Lao People's Dem. Rep.,Rép. dém. populaire lao,38.61,36.03
Asia,Asie,Lebanon,Liban,47.01,41.02
Africa,Afrique,Liberia,Libéria,29.80,31.34
Africa,Afrique,Libya,Libye,39.04,37.69
North America,Amérique du Nord,Saint Lucia,Sainte-Lucie,49.01,49.37
Asia,Asie,Sri Lanka,Sri Lanka,44.54,43.27
Africa,Afrique,Lesotho,Lesotho,41.40,41.05
Europe,Europe,Lithuania,Lituanie,50.00,54.25
Europe,Europe,Luxembourg,Luxembourg,62.15,63.71
Europe,Europe,Latvia,Lettonie,56.86,58.92
Asia,Asie,"China, Macao SAR",Chine (RAS de Macao),58.09,55.52
Africa,Afrique,Morocco,Maroc,46.86,46.54
Europe,Europe,"Moldova, Republic of","Moldova, République de",49.88,50.84
Africa,Afrique,Madagascar,Madagascar,29.59,28.98
Asia,Asie,Maldives,Maldives,48.50,49.18
North America,Amérique du Nord,Mexico,Mexique,49.96,49.41
Oceania,Océanie,Marshall Islands,Îles Marshall,46.57,47.42
Europe,Europe,North Macedonia,Macédoine du Nord,45.89,46.72
Africa,Afrique,Mali,Mali,23.39,21.67
Europe,Europe,Malta,Malte,60.93,60.77
Asia,Asie,Myanmar,Myanmar,34.94,31.84
Europe,Europe,Montenegro,Monténégro,52.73,43.36
Asia,Asie,Mongolia,Mongolie,49.99,48.95
Africa,Afrique,Mozambique,Mozambique,30.11,29.48
Africa,Afrique,Mauritania,Mauritanie,34.47,36.55
Africa,Afrique,Mauritius,Maurice,54.03,49.56
Africa,Afrique,Malawi,Malawi,22.69,18.69
Asia,Asie,Malaysia,Malaisie,56.85,52.14
Africa,Afrique,Namibia,Namibie,45.68,41.15
Africa,Afrique,Niger,Niger,19.56,16.89
Africa,Afrique,Nigeria,Nigéria,30.71,31.94
North America,Amérique du Nord,Nicaragua,Nicaragua,40.91,41.44
Europe,Europe,Netherlands (Kingdom of the),Pays-Bas (Royaume des),68.68,68.84
Europe,Europe,Norway,Norvège,66.12,66.36
Asia,Asie,Nepal,Népal,41.08,40.35
Oceania,Océanie,New Zealand,Nouvelle-Zélande,67.60,66.92
Asia,Asie,Oman,Oman,57.49,56.03
Asia,Asie,Pakistan,Pakistan,33.41,33.81
North America,Amérique du Nord,Panama,Panama,51.46,53.04
South America,Amérique du Sud,Peru,Pérou,47.28,47.78
Asia,Asie,Philippines,Philippines,44.64,43.81
Oceania,Océanie,Palau,Palaos,52.10,46.58
Oceania,Océanie,Papua New Guinea,Papouasie-Nouvelle-Guinée,32.64,33.47
Europe,Europe,Poland,Pologne,59.25,58.80
Europe,Europe,Portugal,Portugal,60.44,60.37
South America,Amérique du Sud,Paraguay,Paraguay,44.72,42.70
Asia,Asie,State of Palestine,État de Palestine,49.30,49.96
Asia,Asie,Qatar,Qatar,63.56,63.56
Europe,Europe,Romania,Roumanie,51.55,52.36
Europe,Europe,Russian Federation,Fédération de Russie,52.45,51.31
Africa,Afrique,Rwanda,Rwanda,33.04,37.12
Asia,Asie,Saudi Arabia,Arabie saoudite,54.71,56.87
Africa,Afrique,Sudan,Soudan,26.94,25.80
Africa,Afrique,Senegal,Sénégal,34.40,38.72
Asia,Asie,Singapore,Singapour,53.79,52.49
Oceania,Océanie,Solomon Islands,Îles Salomon,36.98,38.19
Africa,Afrique,Sierra Leone,Sierra Leone,20.53,20.11
North America,Amérique du Nord,El Salvador,El Salvador,46.63,47.63
Europe,Europe,San Marino,Saint-Marin,58.71,57.80
Africa,Afrique,Somalia,Somalie,19.88,21.86
Europe,Europe,Serbia,Serbie,54.16,54.90
Africa,Afrique,South Sudan,Soudan du Sud,23.15,23.30
Africa,Afrique,Sao Tome and Principe,Sao Tomé-et-Principe,42.28,43.10
South America,Amérique du Sud,Suriname,Suriname,48.54,45.90
Europe,Europe,Slovakia,Slovaquie,46.57,50.67
Europe,Europe,Slovenia,Slovénie,57.02,48.71
Europe,Europe,Sweden,Suède,65.16,65.15
Africa,Afrique,Eswatini,Eswatini,38.94,37.63
Africa,Afrique,Seychelles,Seychelles,52.13,51.58
Asia,Asie,Syrian Arab Republic,République arabe syrienne,29.01,30.87
Africa,Afrique,Chad,Tchad,18.78,19.18
Africa,Afrique,Togo,Togo,31.93,36.38
Asia,Asie,Thailand,Thaïlande,54.74,51.56
Asia,Asie,Tajikistan,Tadjikistan,35.22,33.60
Asia,Asie,Turkmenistan,Turkménistan,44.27,43.59
Asia,Asie,Timor-Leste,Timor-Leste,44.47,47.57
Oceania,Océanie,Tonga,Tonga,56.28,55.68
North America,Amérique du Nord,Trinidad and Tobago,Trinité-et-Tobago,53.42,51.95
Africa,Afrique,Tunisia,Tunisie,49.77,47.70
Asia,Asie,Türkiye,Türkiye,54.31,54.01
Oceania,Océanie,Tuvalu,Tuvalu,54.38,54.08
Africa,Afrique,"Tanzania, United Republic of","Tanzanie, République-Unie de",31.49,31.86
Africa,Afrique,Uganda,Ouganda,25.45,21.39
Europe,Europe,Ukraine,Ukraine,49.55,48.97
South America,Amérique du Sud,Uruguay,Uruguay,52.96,54.50
North America,Amérique du Nord,United States of America,États-Unis d'Amérique,68.79,69.24
Asia,Asie,Uzbekistan,Ouzbékistan,42.08,41.98
North America,Amérique du Nord,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,50.13,51.10
South America,Amérique du Sud,Venezuela (Bolivarian Rep. of),Venezuela (Rép. bolivarienne du),32.63,33.12
Asia,Asie,Viet Nam,Viet Nam,50.16,46.90
Oceania,Océanie,Vanuatu,Vanuatu,42.94,44.86
Oceania,Océanie,Samoa,Samoa,45.55,44.50
Asia,Asie,"Yemen, Arab Republic","Yémen, République arabe du",25.07,23.62
Africa,Afrique,South Africa,Afrique du Sud,53.49,52.19
Africa,Afrique,Zambia,Zambie,33.83,32.23
Africa,Afrique,Zimbabwe,Zimbabwe,31.01,30.24